Time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_MidSize_Winter_Test1,Speed_MidSize_Winter_Test2,Speed_MidSize_Winter_Test3,Speed_MidSize_Winter_Test4,Speed_MidSize_Winter_Test5,Speed_MidSize_AllSeason_Test1,Speed_MidSize_AllSeason_Test2,Speed_MidSize_AllSeason_Test3,Speed_MidSize_AllSeason_Test4,Speed_MidSize_AllSeason_Test5,Speed_MidSize_Summer_Test1,Speed_MidSize_Summer_Test2,Speed_MidSize_Summer_Test3,Speed_MidSize_Summer_Test4,Speed_MidSize_Summer_Test5,Speed_FullSize_Winter_Test1,Speed_FullSize_Winter_Test2,Speed_FullSize_Winter_Test3,Speed_FullSize_Winter_Test4,Speed_FullSize_Winter_Test5,Speed_FullSize_AllSeason_Test1,Speed_FullSize_AllSeason_Test2,Speed_FullSize_AllSeason_Test3,Speed_FullSize_AllSeason_Test4,Speed_FullSize_AllSeason_Test5,Speed_FullSize_Summer_Test1,Speed_FullSize_Summer_Test2,Speed_FullSize_Summer_Test3,Speed_FullSize_Summer_Test4,Speed_FullSize_Summer_Test5
4.08,-0.294,0.124,-0.522,0.23,-0.143,-0.772,-0.557,-0.139,-0.619,0.411,0.696,-0.602,-0.694,0.172,-0.087,0.143,-0.146,0.072,-0.184,-0.138,1.116,0.725,-0.37,-0.717,-0.11,0.035,-0.003,-0.37,-0.579,0.341,-0.639,-0.832,0.422,-0.022,0.513,-1.152,-0.008,0.173,-1.069,-0.622,-0.57,0.661,NaN,-0.839,-0.532
4.09,0.403,0.674,-0.143,-0.616,-0.166,0.26,0.039,-0.554,-0.114,-0.579,0.12,-0.054,-0.2,0.543,-0.704,-1.057,-1.338,-0.245,0.876,0.248,-0.098,0.484,0.451,0.203,0.097,-0.246,0.773,0.51,0.311,-1.259,0.535,-0.551,-0.185,0.74,-0.082,-0.824,0.624,-0.106,0.046,-1.158,1.269,0.31,0.59,-0.984,-1.174
4.1,-0.086,-0.375,-0.122,0.492,0.534,0.188,0.592,0.309,-0.646,0.406,0.62,0.589,-0.137,0.777,-0.305,-1.039,-0.104,-0.361,-0.353,-0.124,-0.611,-0.497,-0.212,0.271,0.611,0.001,-0.402,0.228,-0.723,0.812,-0.025,-1.139,-0.518,-0.512,-0.3,0.346,0.213,-0.527,-0.667,0.793,-0.087,-0.168,-0.678,0.453,0.791
4.11,-0.075,0.104,-0.144,0.488,-0.713,-0.013,-0.34,0.063,0.756,-1.018,0.545,-0.162,-0.14,-0.295,0.226,-0.108,-0.606,0.629,0.384,-0.356,-0.031,-1.076,-0.108,0.005,0.614,-0.064,-0.264,0.818,0.083,1.174,-0.811,-0.588,0.119,-0.403,0.314,0.262,-0.204,0.175,0.206,-0.611,-0.439,0.893,-0.056,0.975,0.007
4.12,0.078,0.233,0.038,-0.7,-0.391,0.281,-0.92,0.49,0.964,-0.102,-0.225,-0.657,-0.363,-0.72,0.054,-0.307,0.041,-0.876,-0.764,-0.285,0.235,-0.626,-0.503,0.138,0.344,0.137,-0.723,-1.289,-0.148,0.464,0.893,0.244,-0.617,-0.462,-0.916,-0.872,NaN,0.054,0.428,0.607,0.469,-1.039,0.176,-0.059,-1.759
4.13,-0.375,-0.17,NaN,0.526,-0.137,0.443,-0.861,0.854,0.722,0.311,-0.02,0.142,-0.161,-1.493,-1.174,-1.199,-0.66,-0.738,-1.183,0.324,-0.12,-0.148,1.218,-1.907,0.244,0.451,0.259,0.345,-0.023,-0.413,-0.365,0.53,-0.16,-0.69,-0.185,-0.911,0.138,0.109,0.153,0.575,0.722,0.196,-1.428,0.318,0.456
4.14,0.466,0.222,-1.105,-1.009,-0.611,0.177,-0.075,-0.45,-0.696,0.554,-0.012,-0.071,0.375,-0.22,-0.301,-0.094,-0.342,1.075,NaN,0.039,0.54,-0.132,-0.065,NaN,-0.353,-0.571,-1.105,-0.046,-0.461,0.661,-1.128,0.747,0.363,0.401,-0.48,0.323,0.292,-0.14,-0.358,-0.138,0.855,0.601,-0.775,0.032,0.227
4.15,1.114,-0.238,-0.085,-0.587,0.671,-0.033,-0.923,-0.664,0.985,-0.698,0.244,-0.538,0.74,-0.058,0.01,-0.612,0.265,-1.098,0.096,-0.159,0.508,0.259,0.184,1.282,0.534,-0.208,0.051,0.569,-1.615,0.101,0.886,-0.337,-0.511,-0.051,0.592,-0.727,0.392,-0.033,0.636,0.026,-0.536,-0.822,0.478,0.229,-0.79
4.16,0.168,0.464,-0.1,0.184,-0.197,0.162,-0.568,0.602,0.177,-0.925,-1.203,-0.291,0.079,-0.824,-0.4,0.697,-0.044,-0.268,-0.078,-0.248,-1.356,0.05,0.116,-0.065,-1.067,NaN,0.67,-0.502,0.311,1.269,0.201,0.111,1.114,-0.179,0.039,0.606,0.403,-0.143,-0.91,0.681,0.071,0.122,-0.5,0.478,0.435
4.17,-1.856,0.448,-1.471,-0.84,-1.148,0.14,-0.594,-0.279,-0.427,-0.204,0.448,-0.916,-0.477,0.708,1.011,-0.714,-1.103,0.124,-1.178,0.537,0.118,-0.615,0.704,0.145,-0.399,0.542,0.873,0.347,0.1,-1.487,0.039,-1.15,0.22,-0.771,0.678,0.561,-1.176,-1.429,-0.257,-1.3,-0.777,-0.356,-0.031,-0.424,0.199
4.18,-1.232,-1.683,-1.172,-0.399,-0.232,0.223,0.467,0.419,0.101,-1.019,-0.571,-0.344,0.699,0.182,-0.193,0.423,0.239,-0.917,-1.333,0.733,-0.244,0.802,0.08,0.386,-0.838,-0.883,-0.347,0.188,0.39,-0.139,0.374,-0.015,0.327,-0.3,0.274,-0.864,0.123,-0.519,0.27,0.195,0.48,-0.619,-0.708,0.33,0.533
4.19,1.047,0.321,0.462,-0.072,-1.065,0.206,-1.06,0.164,0.229,-1.092,0.477,-0.776,0.206,-1.009,-1.563,-1.061,0.03,-0.217,-0.328,-1.225,0.218,-0.081,-0.89,0.507,-0.403,0.91,0.347,-0.632,-0.687,0.444,-0.101,-0.054,0.026,-0.132,-0.258,0.372,-0.858,-0.694,0.651,0.776,0.186,-0.859,0.313,-1.362,-0.261
4.2,0.77,-1.205,0.907,-0.384,-0.21,-0.527,-0.005,-0.854,0.067,0.881,-0.687,-1.397,-0.023,-0.187,-0.996,0.303,-0.843,-0.317,-0.508,-0.733,-0.278,-1.445,-0.412,0.01,0.27,-0.16,-0.479,-0.603,NaN,0.761,0.888,0.878,-0.352,-0.283,-0.092,-0.15,0.597,0.302,-0.186,-0.224,-0.288,-0.066,-0.165,-0.082,0.293
4.21,1.237,-0.009,0.681,-0.977,0.217,0.185,-0.362,0.468,0.289,0.871,0.321,-0.298,-0.176,0.343,-1.124,0.324,-0.066,-0.401,-0.047,0.636,1.26,0.501,0.375,0.429,0.382,0.445,-0.793,-0.081,0.721,-0.129,0.413,-0.045,0.814,-0.304,0.548,0.202,0.947,-0.333,-0.017,0.305,0.24,-1.087,-0.833,NaN,-0.367
4.22,NaN,-0.801,0.693,-0.313,-0.828,-0.024,-0.205,0.231,-0.569,-0.52,-0.512,0.493,-0.113,-1.044,0.855,0.429,-0.362,0.661,0.741,-0.731,1.001,-0.078,-0.568,0.409,0.305,-0.355,0.627,-0.179,-0.834,-0.267,-1.118,0.111,-0.03,-0.893,-0.952,-0.198,1.121,-0.584,-0.436,-0.061,0.24,-0.422,-0.257,-0.015,0.279
4.23,-0.292,-0.814,0.104,-1.437,-0.257,-0.769,-0.155,0.83,-0.352,-1.036,-1.446,0.491,0.028,0.353,-0.201,0.076,0.035,-1.056,0.107,-0.137,0.67,-0.508,0.448,0.388,-0.246,-0.454,-0.434,0.58,0.079,1.153,-0.131,0.4,-0.174,0.435,0.359,0.059,-0.106,0.461,-0.941,-0.125,-0.522,0.846,-0.245,-0.032,0.695
4.24,-0.236,0.406,-0.648,0.524,0.081,0.114,0.582,-0.141,-0.541,0.466,-0.45,-1.142,0.475,-0.541,0.465,0.461,0.081,-1.126,-0.498,-0.221,0.274,0.476,-0.641,0.197,0.219,0.613,0.082,-1.008,0.399,-0.473,-0.171,-0.197,-0.757,-0.765,-0.052,-0.741,-0.592,-0.036,-0.042,-0.345,-1.014,0.039,-1.024,-0.64,-0.045
4.25,-1.068,0.809,0.193,-0.408,-1.186,1.203,-0.075,0.245,-0.747,-1.343,-1.197,-0.194,-0.199,0.894,-1.244,-0.639,1.09,0.177,-0.643,-0.159,-0.389,0.275,0.732,-1.383,-0.223,0.768,0.022,-1.224,0.851,-0.001,-0.72,1.643,0.42,-1.672,-1.304,0.058,NaN,0.2,0.503,-0.192,-0.044,1.086,-0.444,-1.027,0.125
4.26,0.385,-0.312,-0.112,0.548,-0.721,-0.52,-0.321,-1.548,-0.915,0.342,-0.276,-0.188,-0.455,0.092,0.086,-0.422,-0.275,0.477,-0.243,0.282,0.969,-0.595,-0.576,-0.04,0.744,-0.347,0.211,-0.571,-0.832,-0.646,-0.285,0.147,-0.001,0.447,-0.976,-0.986,-0.537,-0.712,-0.334,-0.174,0.094,0.926,-0.688,0.255,-0.232
4.27,NaN,0.767,0.613,-0.657,-0.416,-0.735,-0.082,-0.147,0.707,-0.512,-0.485,-0.21,-1.165,0.231,0.591,-0.204,-0.028,0.39,0.684,-1.58,-0.904,-0.761,-0.306,-0.153,-1.241,0.723,-0.253,-0.341,0.737,0.158,-0.144,0.08,-0.853,0.676,-0.07,-0.234,-0.762,0.031,-1.228,1.12,0.225,0.976,0.522,-0.519,-0.092
4.28,0.722,0.76,-1.106,0.118,-0.386,-0.258,0.217,0.537,-0.181,-0.195,0.338,-0.008,0.098,-1.283,-0.881,-0.494,-0.483,-0.401,-0.502,-0.259,0.376,-0.77,0.264,NaN,1.004,0.421,-0.395,0.152,0.18,0.092,-0.304,0.288,-0.41,-0.808,-0.106,-0.538,0.559,0.318,-0.112,0.335,0.039,0.053,-0.484,0.176,0.026
4.29,0.067,0.992,-0.005,-0.47,-0.449,-1.058,-0.658,-1.136,-0.685,-0.41,-0.37,-0.639,0.343,0.733,-0.486,-0.492,0.361,0.422,0.108,0.297,0.711,-0.42,0.138,0.101,-0.031,-1.106,0.29,-0.268,0.268,0.317,-0.824,0.222,0.548,-0.319,-0.298,-1.04,-0.392,0.529,-1.291,-0.02,0.914,0.361,0.304,-0.076,-0.33
4.3,-0.282,-0.149,0.169,-0.194,0.963,-0.007,0.513,0.1,0.034,-0.088,-0.129,0.868,0.126,0.557,-0.305,-0.134,-0.526,-0.523,0,-0.775,-0.132,-0.185,0.173,NaN,-0.658,-0.671,0.079,-0.146,0.202,0.214,0.544,-0.077,0.047,0.248,-1.153,-0.548,-0.171,0.128,-0.221,0.277,-0.916,0.064,-0.97,-0.825,1.324
4.31,0.436,-0.325,-0.337,0.271,0.143,NaN,-0.155,-0.353,0.511,0.357,0.305,0.394,-0.005,-0.755,1.015,-0.348,-0.719,0.402,-0.664,-0.483,-0.056,0.217,-0.729,0.072,-0.217,0.257,-0.409,0.058,0.826,-0.381,-0.977,-0.152,-0.306,-0.239,0.582,0.573,0.307,0.929,-0.299,-0.092,-0.41,0.244,0.355,0.249,-0.739
4.32,-0.139,-0.017,-0.441,-0.579,-0.059,-0.467,0.868,0.661,0.167,0.414,-0.728,0.178,0.389,0.342,-0.458,0.732,-0.739,-0.554,0.457,0.277,1.229,0.001,0.507,0.108,-0.249,0.115,-0.353,0.107,0.302,-0.924,0.159,-0.084,0.689,-0.836,-0.235,-0.379,-0.08,0.823,-0.008,-0.114,-0.431,0.428,-1.252,-0.813,0.064
4.33,-0.366,-0.643,-0.737,-0.054,0.284,0.367,-0.289,NaN,0.285,0.668,-1.495,0.5,-0.184,0.181,-0.725,-0.91,-0.532,0.372,NaN,0.808,0.351,0.087,-0.376,-0.242,0.256,0.026,-0.241,-0.678,0.249,-0.393,0.68,0.755,-1.077,-0.197,0.231,-0.432,0.277,0.308,0.971,-0.099,-0.125,0.28,0.333,0.428,-1.183
4.34,0.665,0.185,-0.247,0.624,-0.379,0.026,-1.031,0.846,-0.17,0.148,0.594,0.553,0.166,0.035,0.744,-0.042,-1.709,NaN,0.219,-0.093,0.381,-1.471,-0.052,0.185,-0.589,0.764,-0.628,0.987,-0.046,0.644,0.22,0.316,0.927,-0.465,0.943,-0.693,0.099,0.254,-1.181,0.666,-0.166,-0.457,0.141,-0.4,-0.499
4.35,0.07,0.945,-1.252,-0.033,0.622,-1.228,-0.12,-0.522,-1.845,-0.01,-1.442,-0.092,0.196,0.079,0.09,1.167,-1.413,-0.453,0.442,0.125,0.155,-0.043,0.03,-0.757,-0.289,-0.576,-0.313,0.532,-0.297,0.37,-0.452,0.352,0.794,0.037,0.422,0.547,-0.313,-0.106,0.133,-0.401,-0.058,0.295,-0.047,0.578,-0.277
4.36,-0.564,0.159,-0.496,0.641,0.472,-0.901,-0.302,0.289,-0.989,-0.79,-0.533,0.313,-0.412,0.17,-0.18,0.523,0.013,-0.247,0.438,-1.2,0.51,0.194,0.294,-0.302,-0.035,-1.429,0.004,0.976,0.939,0.327,-1.151,0.3,-0.115,-0.13,-1.121,0.072,NaN,-0.431,-0.248,0.347,-0.735,0.133,0.406,-0.793,-0.16
4.37,0.521,0.031,1.076,-0.264,0.185,-0.471,-0.618,-0.679,0.088,-0.294,0.258,-0.135,-0.461,0.301,0.516,-0.763,-0.754,-0.081,0.085,0.917,0.578,0.649,-0.546,0.301,-0.854,NaN,-0.815,-0.106,-0.386,-0.268,-0.495,-0.531,-0.078,-0.394,0.633,0.443,0.097,-0.497,0.783,-0.599,-1.101,-0.67,-0.953,-0.019,-0.047
4.38,0.483,0.177,-0.511,0.095,0.011,0.092,0.087,-0.012,0.878,-0.572,-0.821,-0.415,0.041,-0.065,-0.12,0.595,-1.434,0.54,-0.622,-1.016,0.57,0.456,-0.585,-1.099,0.038,-1.474,1.089,0.464,-1.582,-0.414,-0.102,-1.084,0.016,-0.216,0.49,-0.174,-0.107,0.647,0.914,0.391,-0.149,0.872,-0.155,NaN,0.007
4.39,-1,-0.143,-1.578,-0.311,-0.462,0.35,-0.238,0.041,0.892,-0.847,-0.961,-1.127,-0.982,NaN,0.697,-0.164,-0.528,-0.401,0.035,-0.567,-0.971,-0.026,-0.11,0.062,-0.433,-0.02,0.22,0.257,0.052,0.826,NaN,0.803,-0.317,-0.382,-0.616,0.084,-0.595,0.792,0.074,0.283,0,0.275,-0.639,0.409,-0.181
4.4,0.355,1.036,0.86,0.067,-0.152,-0.057,0.454,0.041,-0.19,0.147,-1.007,-0.299,0.156,-1.24,0.573,0.229,0.467,-0.076,0.428,1.107,0.164,-0.189,0.05,-0.325,0.616,-0.24,0.892,0.244,-1.064,-0.639,0.34,NaN,-0.898,0.027,0.416,-0.004,0.55,1.395,-0.604,0.12,-0.178,0.274,-1.011,0.99,0.35
4.41,-0.179,0.73,0.659,-0.074,0.224,0.07,-1.246,-0.936,0.11,-0.229,-0.553,-0.118,0.538,0.15,-0.605,-0.765,-0.216,-0.354,0.183,0.504,0.176,0.421,-1.119,1.053,-0.057,-0.331,0.623,0.59,-0.333,-0.448,0.497,-0.894,0.534,0.247,NaN,0.267,0.419,0.481,0.145,-1.165,-0.273,0,0.848,0.772,-0.851
4.42,-0.674,-0.461,-0.35,0.287,1.159,0.678,0.094,0.792,-0.36,0.238,-1.029,0.342,-1.207,0.087,NaN,0.212,0.164,-0.075,0.149,-0.576,0.392,1.103,NaN,-0.799,0.801,-0.204,-0.714,-0.801,-0.058,0.93,0.097,-0.272,-0.18,0.475,-0.279,1.023,-0.283,0.468,0.284,-0.437,-0.034,0.171,-0.422,0.204,0.391
4.43,0.44,0.268,0.186,0.142,-1.119,-0.18,-0.052,-0.018,-0.45,-0.204,-0.908,0.9,-0.087,0.467,0.418,0.889,-0.581,0.037,0.422,-0.106,0.27,0.472,0.691,-0.483,0.013,0.827,-0.458,-0.688,-0.122,-0.936,0.488,0.148,0.361,-0.466,-0.521,0.275,-0.396,-0.05,0.066,-0.166,1.044,0.706,-0.408,0.228,-0.363
4.44,0.46,-0.467,-0.247,0.02,-0.277,-0.8,-0.354,-1.077,-0.576,-0.459,-0.64,-1.123,0.047,-0.373,-0.456,0.72,-0.138,-0.601,-0.909,-0.232,-0.187,0.216,0.424,-0.227,0.312,-0.32,0.006,NaN,0.534,-0.054,-0.871,-0.146,0.053,-0.229,0.876,-0.797,-0.654,-0.337,-0.72,-0.866,-0.698,0.451,-0.042,0.522,-0.742
4.45,0.657,-0.532,-0.125,-0.086,-0.204,-1.569,-0.285,NaN,0.473,0.128,-0.055,0.033,-0.258,0.629,0.207,-1.741,-0.942,-0.376,-0.111,-0.836,-0.442,0.108,0.736,0.438,-0.328,-0.787,-0.865,0.336,1.076,-0.055,NaN,0.978,0.207,0.325,0.419,-0.143,-1.152,0.135,-0.431,1.512,-0.25,-0.334,0.766,-0.024,-0.13
4.46,0.332,0.26,NaN,1.499,0.446,0.023,-0.386,-1.311,-0.166,0.136,0.585,0.477,-0.155,-0.146,-1.012,-0.016,-0.204,-0.719,-1.249,-0.065,0.97,-0.712,-0.457,0.549,NaN,0.345,0.217,-0.076,-0.142,0.143,-0.341,0.079,0.068,-0.444,-0.072,-0.533,0.428,0.227,0.61,-0.969,-0.404,-0.654,0.614,0.268,-0.224
4.47,-0.386,0.688,-1.365,0.563,-0.776,-1.137,-0.282,0.196,-0.076,-0.071,-1.241,0.079,0.309,-0.701,-0.389,0.008,-0.331,0.828,-0.174,0.122,0.363,-0.608,0.241,-0.999,-0.913,0.338,0.609,-0.315,0.777,0.096,-0.519,-0.458,-0.206,0.095,0.157,0.356,0.517,-0.114,0.045,0.766,-0.265,-0.175,-0.422,0.579,-0.8
4.48,-0.136,-0.499,-0.822,-1.046,0.222,-0.967,0.456,-0.25,-0.306,-0.176,-0.283,0.15,-1.418,0.112,0.897,-0.299,-0.054,-0.818,-0.61,-0.639,0.172,-0.722,0.574,-0.202,0.091,0.144,0.704,-0.177,-0.218,0.416,-0.223,0.107,-0.02,-0.135,-0.264,0.3,-0.667,-0.122,0.038,0.542,-0.249,0.221,1.088,-1.388,0.018
4.49,-0.277,-0.274,0.793,0.863,-0.887,0.032,0.024,0.311,-0.719,0.277,-0.269,0.671,0.953,0.313,-0.679,0.501,-0.224,-0.297,-0.96,0.266,0.82,0.497,0.555,0.128,0.454,0.341,-0.495,-0.137,0.3,-0.054,0.015,-0.48,0.789,0.582,1.13,-0.729,NaN,0.667,1.12,0.434,0.215,-0.119,NaN,0.639,0.43
4.5,-0.131,0.447,0.349,-0.128,-0.285,0.024,0.259,-0.685,0.531,-0.481,-0.348,-1.246,-0.084,-0.219,0.705,0.769,-0.873,-0.864,-0.085,-1.393,0.136,-0.369,-0.059,1.299,0.434,-0.008,0.267,-0.07,0.53,0,-1.465,-0.709,-0.259,-0.631,0.104,-0.242,-0.539,-0.718,0.42,0.183,-0.208,0.29,-0.183,-0.907,0.424
4.51,1.088,0.016,-0.752,NaN,0.698,-0.498,0.859,0.067,1.416,-0.135,0.442,-1.229,-1.565,-0.148,-0.069,-0.446,-0.817,0.136,-0.48,-0.089,0.672,-0.536,-0.339,-0.036,-0.642,-1.267,-0.845,0.305,0.102,0.013,-0.112,0.14,-0.092,-0.309,0.342,0.964,-0.816,0.712,0.682,-0.216,0.148,0.342,1.107,NaN,-0.065
4.52,-0.616,-0.536,0.518,-0.545,-0.362,0.496,-0.989,-0.31,0.26,-0.413,0.097,0.976,-0.253,-0.834,0.197,-0.318,0.493,-0.622,-0.446,-0.258,0.585,0.739,-0.199,0.015,0.742,-1.077,1.772,-0.488,0.243,-0.487,-0.017,0.258,-0.227,0.487,-0.779,0.448,-0.116,0.508,-0.181,-0.513,0.287,-0.862,0.915,0.688,0.779
4.53,-0.339,0.4,-1.261,-1.236,-0.773,-0.03,-0.565,0.351,0.626,0.694,-0.142,-0.466,-0.048,-0.047,0.736,-0.63,-0.033,0.127,0.145,0.387,0.304,-0.808,-0.636,0.038,0.404,0.701,0.061,-0.367,0.55,-0.136,-0.605,NaN,0.533,-0.028,0.217,0.019,0.165,0.034,-0.61,0.084,0.447,0.471,-0.145,-0.417,0.477
4.54,-0.25,-0.432,0.26,0.499,-0.618,-0.392,-0.208,-0.216,0.216,0.278,-1.055,0.67,-0.515,NaN,-0.304,-0.447,0.868,-0.381,-0.327,0.118,-0.368,-0.071,0.302,-1.077,0.23,NaN,0.065,-0.431,-1.426,0.187,-0.18,-1.05,-0.45,-0.605,0.219,0.78,0.312,-1.169,0.264,0.567,-0.529,0.647,1.317,-0.184,1.076
4.55,-0.133,-0.256,0.266,-0.155,-1.252,-0.9,0.357,-0.648,0.271,-0.449,-0.187,0.45,-0.237,0.061,-0.491,0.146,-1.178,-0.94,0.472,-1.042,1.236,0.572,-0.138,0.631,-0.346,0.107,-0.406,-0.188,-0.966,0.45,-0.341,0.253,0.265,0.025,0.245,-0.377,-0.662,0.247,-0.015,0.448,-1.36,0.609,-0.58,0.098,-0.084
4.56,NaN,0.49,-0.715,-0.224,0.63,0.181,0.309,0.337,-1.029,0.207,0.268,NaN,0.168,0.038,-0.242,0.47,-0.153,-1.092,0.337,0.635,-0.244,-0.267,0.093,0.395,0.575,0.699,0.216,-0.805,-0.129,0.108,1.218,0.15,-0.111,-0.191,0.1,0.334,-1.494,0.526,0.384,-0.087,-0.25,-0.233,0.183,-0.25,NaN
4.57,0.273,-1.187,0.696,-1.654,-0.279,-0.47,-0.296,1.429,-0.085,-0.338,-0.63,0.105,0.478,0.646,-0.005,0.016,-0.672,-0.171,0.147,-0.522,0.243,0.087,0.317,0.266,-0.305,-0.391,-0.696,NaN,-0.773,0.271,0.837,-0.229,-0.712,-0.551,0.358,-0.012,-1.386,-0.295,0.197,0.348,0.369,1.606,-0.853,0.126,-0.33
4.58,-0.534,0.462,0.264,-0.23,-0.502,-0.482,-0.914,-0.96,0.147,0.048,0.163,-0.884,-0.5,-0.675,-0.38,0.773,-0.017,-0.157,NaN,0.334,0.205,-0.303,-0.873,-0.916,-0.652,0.712,0.848,-0.422,0.606,-0.198,-1.632,0.29,0.955,0.512,-1.941,0.219,0.083,-0.259,-0.608,-0.032,0.551,0.843,-0.106,-0.563,-1.095
4.59,0.069,-0.965,0.827,0.11,0.338,-0.832,0.111,-0.198,-0.806,-0.835,-0.093,-1.023,-0.512,0.016,-0.679,0.755,NaN,0.265,0.53,-0.449,-0.045,0.132,-0.819,-0.195,-1.359,-0.394,-0.426,0.397,0.137,-0.642,0.028,0.492,0.732,-0.982,-0.687,0.094,0.01,0.019,-0.629,-0.818,-0.847,0.28,-0.089,0.345,0.131
4.6,0.487,0.195,0.743,0.099,0.227,-0.106,0.161,-0.419,0.16,-1.206,-0.22,-0.109,-0.341,-0.418,-0.563,0.426,0.913,0.057,-0.151,0.016,0.155,-0.398,-0.308,0.256,NaN,0.085,-0.325,0.057,-0.371,-0.258,-0.126,-1.166,-0.329,0.216,0.12,-0.67,-0.673,0.305,0.177,0.112,-0.403,0.102,-1.669,NaN,-0.032
4.61,-0.866,0.64,0.561,-0.111,0.53,-0.108,-1.106,0.112,0.762,0.135,-0.572,-1.16,-0.104,0.248,-0.318,0.035,0.122,0.63,-0.085,-0.663,0.518,0.228,-0.359,0.637,-0.167,-0.341,0.594,NaN,0.594,0.636,-0.302,0.904,0.278,0.362,-0.907,-1.049,-0.196,0.458,0.449,-0.613,0.035,1.169,-0.862,-0.262,-0.269
4.62,0.66,0.624,-0.562,-0.15,0.108,-0.168,-0.812,0.95,0.174,0.371,0.277,0.14,-1.14,0.471,-0.999,-0.51,0.241,-0.841,-0.793,0.102,0.636,-0.304,0.786,0.346,-0.237,0.428,0.28,0.299,0.135,-0.08,-0.343,0.718,0.485,0.081,0.754,-0.398,-1.101,-0.49,0.061,-0.247,-0.186,0.211,-0.789,-0.28,0.087
4.63,-0.184,-1.195,-0.54,0.123,-0.834,-1.41,-1.411,-0.564,0.006,-0.017,0.024,0.732,-0.078,-0.582,NaN,-0.557,-0.019,-0.958,0.698,-1.096,-0.484,0.896,-0.143,0.049,-1.037,NaN,-0.955,-0.703,0.078,-1.15,0.207,0.186,-1.017,-0.461,0.744,-0.605,1.146,0.21,0.094,0.758,0.023,1.055,0.714,-0.885,0.309
4.64,-0.841,-0.573,-1.274,-1.305,-0.66,-0.656,-0.646,0.085,0.706,-0.116,0.203,0.106,-0.704,0.364,0.115,0.563,0.056,0.694,0.337,-1.485,-0.212,-0.654,-0.354,0.613,-0.038,0.242,1.203,0.305,-0.81,-0.973,-0.46,NaN,-0.87,-1.026,-0.975,-0.549,-0.23,-1.007,0.479,0.509,0.666,-0.512,-0.794,0.107,-0.138
4.65,-1.128,0.415,0.536,0.079,0.877,-0.923,0.847,-0.456,-0.093,0.148,0.511,0.402,-0.109,-0.259,0.261,0.129,0.064,-0.305,0.458,1.001,-0.554,-0.883,-0.054,0.252,-0.673,-0.681,0.133,0.464,0.489,0.054,-0.967,1.214,0.58,-0.764,NaN,1.375,0.71,0.137,-1.184,-0.157,-0.558,0.036,0.117,0.394,-0.29
4.66,0.55,0.074,0.086,0.878,0.28,-0.192,0.046,-1.282,-0.154,0.189,-0.398,-0.504,-0.185,-0.518,-0.283,-0.155,-0.104,0.654,-0.596,0.699,0.052,0.733,0.147,0.17,0.171,-0.209,0.49,0.32,0.65,-0.479,0.051,-1.117,0.748,0.34,-0.247,0.023,-0.707,0.656,-0.299,0.187,-0.177,-0.154,-0.67,0.367,-0.528
4.67,0.307,0.206,0.379,-0.124,0.122,0.309,0.446,NaN,0.48,0.376,-0.699,-1.079,-0.669,0.148,-0.093,0.03,-0.051,-0.324,0.294,-0.26,NaN,0.45,0.661,-0.156,-0.735,0.218,-1.207,-0.443,0.221,0.41,-0.993,0.761,0.808,-0.915,0.452,-1.533,NaN,-1.061,0.713,-1.04,0.075,0.095,0.126,0.152,-0.026
4.68,-0.65,0.867,-0.33,0.022,-0.704,-0.172,0.107,0.6,0.152,-0.175,0.27,0.251,-0.549,-0.544,0.316,-0.796,0.215,0.067,0.979,0.455,-0.097,0.27,0.098,-0.209,-0.312,0.442,-1.026,0.583,0.801,0.083,0.704,-1.168,NaN,0.521,0.059,-1.226,-0.468,-0.206,-0.685,0.281,-0.578,0.407,0.241,-0.954,0.158
4.69,0.177,0.698,0.682,-1.314,0.227,0.44,0.476,0.46,-0.581,0.08,-0.147,0.746,-0.459,-0.43,1.023,-0.502,0.411,-1.198,-0.195,-0.607,-1.099,-0.433,-0.218,0.215,-0.125,-0.12,-1.018,-0.715,0.957,0.486,0.325,0.376,-0.355,0.937,0.973,-0.173,-0.575,0.463,-0.19,0.054,0.18,-0.999,-0.452,0.712,0.445
4.7,0.66,0.294,0.116,0.105,0.162,-1.264,0.331,0.627,0.668,0.009,-0.906,0.251,0.008,-0.472,-0.108,0.16,-0.098,-1.025,-1.383,-0.397,-0.899,-1.047,-0.207,0.32,0.241,0.052,-0.057,0.637,-0.247,0.37,0.312,NaN,0.885,-0.581,-0.784,-0.156,0.116,-0.844,-0.292,-1.109,0.347,0.443,-0.267,0.062,-0.089
